Name,Predicted price,Real price,Difference,Percentage
ADANIENT.BO_gen,1982.821050746841,1982.849976,0.029,1.4625626447266627e-05
ADANIPOWER.NS_gen,177.74999999999974,177.75,0.0,0.0
ASIANPAINT.BO_gen,2865.804323518468,2867.0,1.196,0.00041733484389876993
BAJAJFINSV.BO_gen,1381.335539376821,1381.400024,0.064,4.633197233807009e-05
BAJFINANCE.NS_gen,6133.811976344346,6134.850098,1.038,0.00016922592410774083
BRITANNIA.NS_gen,4310.934900654792,4319.850098,8.915,0.0020679968975281654
CIPLA.NS_gen,881.8434162155794,880.900024,-0.943,-0.001069350842405643
DRREDDY.NS_gen,4434.889521770834,4439.200195,4.311,0.0009720648009014291
EICHERMOT.BO_gen,3168.5299844073315,3166.600098,-1.93,-0.0006091152709608974
HDFCBANK.BO_gen,1625.170136208526,1626.349976,1.18,0.0007260778263824765
HDFCLIFE.BO_gen,490.295238369643,490.399994,0.105,0.00021415667904332874
HINDUNILVR.NS_gen,2489.0154374338404,2484.850098,-4.165,-0.0016733524177311209
INDUSINDBK.NS_gen,1121.257680477805,1120.599976,-0.658,-0.0005868410192022983
IOC.BO_gen,79.38932788008533,79.260002,-0.129,-0.0016249035411264568
KOTAKBANK.NS_gen,1750.992621111033,1751.0,0.007,3.997732437934768e-06
NESTLEIND.BO_gen,18521.876842014743,18517.849609,-4.027,-0.00021741857125759603
NTPC.NS_gen,177.39960686106676,176.800003,-0.6,-0.003382194643023641
RELIANCE.NS_gen,2408.252756546732,2408.699951,0.447,0.00018561174643519026
^NSEBANK_gen,41350.39843799999,41350.398438,0.0,0.0
^NSEI_gen,17711.449219000155,17711.449219,-0.0,-0.0
